ID,PTS,REB,AST,STL,BLK,TOV,FGper,threeper,FTper
1627306,10.4,3.57,1.51,0.87,0.02,0.81,0.392,0.339,0.659
203672,8.46,4.36,3.34,1.11,0.2,1.75,0.416,0.32,0.663
1628403,10.01,11.03,2.17,1.03,0.79,2.12,0.456,0.285,0.684
1628680,11.92,4.05,0.95,1.23,0.26,1.77,0.361,0.277,0.663
1627000,7.93,6.07,1.5,1.06,0.45,1.12,0.452,0.289,0.808
202951,9.91,2.07,8.48,0.8,0.3,2.88,0.395,0.321,0.696
1628689,5.91,5.83,1.46,1.52,1.12,1.68,0.389,0.239,0.688
1626245,10.66,8.97,1.8,1.21,1.73,2.17,0.493,0.219,0.742
1628520,5.24,3.03,2.46,1.06,0.51,0.81,0.374,0.273,0.705
1626643,11.44,1.89,4.72,1.12,0.22,2.51,0.373,0.285,0.767
