Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
Juan Toscano-Anderson,1629308,SCW,25,8,7.3,0.0,8.5,3.1,9.0,223.38,3.5,0.489,0.6,0.0,1.9,2.9,0.667,3.1,1.5,0.8
Julian Washburn,1627395,AUS,26,11,11.2,2.6,5.5,2.1,14.1,365.4066666666667,5.4,0.482,5.3,0.481,0.7,0.9,0.778,1.6,0.7,0.2
Justin Bibbs,1629167,MNE,22,14,11.3,1.6,2.8,2.8,12.6,308.53,4.7,0.412,6.3,0.259,1.6,2.0,0.824,1.5,0.7,0.1
Justin Harper,202712,SBL,29,2,16.7,3.9,2.9,2.0,20.6,36.666666666666664,6.9,0.412,9.8,0.4,2.9,2.9,1.0,1.0,0.0,1.0
Justin Jackson,1628992,LAK,21,7,8.9,1.0,7.1,1.8,7.9,137.24,3.1,0.353,5.0,0.211,0.5,0.8,0.667,2.9,1.6,0.5
Justin Leon,1628618,OKL,23,14,11.7,1.6,6.9,1.4,12.7,328.4533333333333,4.3,0.364,6.7,0.246,2.5,3.5,0.719,0.7,0.7,0.3
Justin Reyes,1629212,SLC,23,5,9.1,0.7,6.3,2.1,11.9,51.233333333333334,4.9,0.538,1.4,0.5,1.4,1.4,1.0,0.7,1.4,2.1
Justin Tubbs,202799,TEX,31,8,11.8,2.8,5.5,3.1,15.2,103.90166666666667,4.9,0.412,8.0,0.348,2.8,3.5,0.8,2.1,1.0,0.3
KJ McDaniels,203909,OKL,25,12,14.6,1.5,7.9,2.0,19.5,342.39666666666665,7.3,0.496,4.3,0.341,3.5,4.9,0.702,2.6,1.1,2.0
Kadeem Allen,1628443,WES,25,17,13.3,0.8,6.1,6.5,17.1,522.67,6.5,0.492,2.4,0.343,3.2,3.8,0.836,3.0,2.0,0.8
Kadeem Jack,1627292,SBL,26,9,11.9,0.0,8.6,0.6,11.9,167.03333333333333,5.2,0.436,1.1,0.0,1.5,2.4,0.636,1.7,1.3,0.6
Kaiser Gates,1629232,WCB,22,16,14.9,3.6,8.3,3.8,17.8,354.0516666666667,5.1,0.34,11.2,0.318,4.1,5.1,0.8,1.7,2.0,0.5
Kalin Lucas,203564,STO,29,11,22.7,3.0,4.2,5.6,28.1,320.82666666666665,10.4,0.46,7.0,0.435,4.2,4.8,0.86,3.5,1.3,0.0
